Stop ID,Neighborhood,Station Name,Line,canTransfer,Latitude,Longitude,Express
120,Broadway,42nd St - Port Authority Bus Terminal,C,TRUE,40.754672,-73.986754,local
121,Broadway,42nd St - Port Authority Bus Terminal,E,TRUE,40.754672,-73.986754,local
122,Broadway,Times Square - 42nd St,N,TRUE,40.754672,-73.986754,express
123,Broadway,Times Square - 42nd St,Q,TRUE,40.754672,-73.986754,express
124,Broadway,Times Square - 42nd St,R,TRUE,40.754672,-73.986754,local
125,Broadway,Times Square - 42nd St,W,TRUE,40.754672,-73.986754,local
126,Broadway,Times Square - 42nd St,1,TRUE,40.754672,-73.986754,local
127,Broadway,Times Square - 42nd St,2,TRUE,40.754672,-73.986754,express
128,Broadway,Times Square - 42nd St,3,TRUE,40.754672,-73.986754,express
129,Broadway,Times Square - 42nd St,7,TRUE,40.754672,-73.986754,local
130,Broadway,Times Square - 42nd St,S1,TRUE,40.754672,-73.986754,express
131,Broadway,14th St - Union Square,L,TRUE,40.735736,-73.990568,local
132,Broadway,14th St - Union Square,N,TRUE,40.735736,-73.990568,express
133,Broadway,14th St - Union Square,Q,TRUE,40.735736,-73.990568,express
134,Broadway,14th St - Union Square,R,TRUE,40.735736,-73.990568,local
135,Broadway,14th St - Union Square,W,TRUE,40.735736,-73.990568,local
136,Broadway,14th St - Union Square,4,TRUE,40.735736,-73.990568,express
137,Broadway,14th St - Union Square,5,TRUE,40.735736,-73.990568,express
138,Broadway,14th St - Union Square,6,TRUE,40.735736,-73.990568,local
139,Broadway,Whitehall St,R,TRUE,40.703087,-74.012994,local
140,Broadway,Whitehall St,W,TRUE,40.703087,-74.012994,local
141,Broadway,South Ferry,1,TRUE,40.703087,-74.012994,local
142,Broadway Jamaica,104th St,J,TRUE,40.695178,-73.84433,local
143,Broadway Jamaica,104th St,Z,TRUE,40.695178,-73.84433,express
144,Broadway Jamaica,111th St,J,FALSE,40.697418,-73.836345,local
145,Broadway Jamaica,121st St,J,TRUE,40.700492,-73.828294,local
146,Broadway Jamaica,121st St,Z,TRUE,40.700492,-73.828294,express
147,Broadway Jamaica,Alabama Av,J,TRUE,40.676992,-73.898654,local
148,Broadway Jamaica,Chauncey St,J,TRUE,40.682893,-73.910456,local
149,Broadway Jamaica,Chauncey St,Z,TRUE,40.682893,-73.910456,express
150,Broadway Jamaica,Cleveland St,J,FALSE,40.679947,-73.884639,local
151,Broadway Jamaica,Crescent St,J,TRUE,40.683194,-73.873785,local
152,Broadway Jamaica,Crescent St,Z,TRUE,40.683194,-73.873785,express
153,Broadway Jamaica,Cypress Hills,J,FALSE,40.689941,-73.87255,local
154,Broadway Jamaica,75th St - Elderts Ln,J,TRUE,40.691324,-73.867139,local
155,Broadway Jamaica,75th St - Elderts Ln,Z,TRUE,40.691324,-73.867139,express
156,Broadway Jamaica,Flushing Av,J,TRUE,40.70026,-73.941126,local
157,Broadway Jamaica,Flushing Av,M,TRUE,40.70026,-73.941126,local
158,Broadway Jamaica,85th St - Forest Parkway,J,FALSE,40.692435,-73.86001,local
159,Broadway Jamaica,Gates Av,J,TRUE,40.68963,-73.92227,local
160,Broadway Jamaica,Gates Av,Z,TRUE,40.68963,-73.92227,express
161,Broadway Jamaica,Halsey St,J,FALSE,40.68637,-73.916559,local
162,Broadway Jamaica,Hewes St,J,TRUE,40.70687,-73.953431,local
163,Broadway Jamaica,Hewes St,M,TRUE,40.70687,-73.953431,local
164,Broadway Jamaica,Kosciusko St,J,FALSE,40.693342,-73.928814,local
165,Broadway Jamaica,Marcy Av,J,TRUE,40.708359,-73.957757,local
166,Broadway Jamaica,Marcy Av,M,TRUE,40.708359,-73.957757,local
167,Broadway Jamaica,Marcy Av,Z,TRUE,40.708359,-73.957757,express
168,Broadway Jamaica,Myrtle Av,J,TRUE,40.697207,-73.935657,local
169,Broadway Jamaica,Myrtle Av,M,TRUE,40.697207,-73.935657,local
170,Broadway Jamaica,Myrtle Av,Z,TRUE,40.697207,-73.935657,express
171,Broadway Jamaica,Norwood Av,J,TRUE,40.68141,-73.880039,local
172,Broadway Jamaica,Norwood Av,Z,TRUE,40.68141,-73.880039,express
173,Broadway Jamaica,Van Siclen Av,J,TRUE,40.678024,-73.891688,local
174,Broadway Jamaica,Van Siclen Av,Z,TRUE,40.678024,-73.891688,express
175,Broadway Jamaica,Woodhaven Blvd,J,TRUE,40.693879,-73.851576,local
176,Broadway Jamaica,Woodhaven Blvd,Z,TRUE,40.693879,-73.851576,express
177,Canarsie,1st Av,L,FALSE,40.730953,-73.981628,local
178,Canarsie,3rd Av,L,FALSE,40.732849,-73.986122,local
179,Canarsie,14th St,A,TRUE,40.739777,-74.002578,express
180,Canarsie,14th St,C,TRUE,40.739777,-74.002578,local
181,Canarsie,14th St,E,TRUE,40.739777,-74.002578,local
182,Canarsie,8th Av,L,TRUE,40.739777,-74.002578,local
183,Canarsie,Atlantic Av,L,FALSE,40.675345,-73.903097,local
184,Canarsie,Bedford Av,L,FALSE,40.717304,-73.956872,local
185,Canarsie,Bushwick Av,L,FALSE,40.682829,-73.905249,local
189,Canarsie,DeKalb Av,L,FALSE,40.703811,-73.918425,local
190,Canarsie,East 105th St,L,FALSE,40.650573,-73.899485,local
191,Canarsie,Graham Av,L,FALSE,40.714565,-73.944053,local
192,Canarsie,Grand St,L,FALSE,40.711926,-73.94067,local
193,Canarsie,Halsey St,L,FALSE,40.695602,-73.904084,local
194,Canarsie,Jefferson St,L,FALSE,40.706607,-73.922913,local
195,Canarsie,Livonia Av,L,FALSE,40.664038,-73.900571,local
196,Canarsie,Metropolitan Av,G,TRUE,40.714063,-73.950275,local
197,Canarsie,Lorimer St,L,TRUE,40.714063,-73.950275,local
